Date,Ball,X
104/02/24,X1,46
104/02/24,X2,39
104/02/24,X3,28
104/02/24,X4,3
104/02/24,X5,48
104/02/24,X6,41
104/02/24,S,9
104/02/23,X1,21
104/02/23,X2,20
104/02/23,X3,43
104/02/23,X4,38
104/02/23,X5,32
104/02/23,X6,14
104/02/23,S,23
104/02/22,X1,6
104/02/22,X2,3
104/02/22,X3,12
104/02/22,X4,37
104/02/22,X5,34
104/02/22,X6,43
104/02/22,S,28
104/02/21,X1,27
104/02/21,X2,17
104/02/21,X3,40
104/02/21,X4,2
104/02/21,X5,11
104/02/21,X6,5
104/02/21,S,20
104/02/20,X1,10
104/02/20,X2,45
104/02/20,X3,29
104/02/20,X4,5
104/02/20,X5,9
104/02/20,X6,28
104/02/20,S,41
104/02/19,X1,25
104/02/19,X2,40
104/02/19,X3,7
104/02/19,X4,49
104/02/19,X5,31
104/02/19,X6,27
104/02/19,S,11
104/02/18,X1,15
104/02/18,X2,27
104/02/18,X3,6
104/02/18,X4,16
104/02/18,X5,3
104/02/18,X6,31
104/02/18,S,14
104/02/17,X1,11
104/02/17,X2,15
104/02/17,X3,23
104/02/17,X4,46
104/02/17,X5,40
104/02/17,X6,3
104/02/17,S,13
104/02/13,X1,25
104/02/13,X2,1
104/02/13,X3,29
104/02/13,X4,9
104/02/13,X5,15
104/02/13,X6,35
104/02/13,S,38
104/02/10,X1,29
104/02/10,X2,14
104/02/10,X3,44
104/02/10,X4,26
104/02/10,X5,15
104/02/10,X6,35
104/02/10,S,9
104/02/06,X1,11
104/02/06,X2,42
104/02/06,X3,5
104/02/06,X4,29
104/02/06,X5,46
104/02/06,X6,36
104/02/06,S,48
104/02/03,X1,30
104/02/03,X2,13
104/02/03,X3,16
104/02/03,X4,18
104/02/03,X5,5
104/02/03,X6,15
104/02/03,S,8
104/01/30,X1,35
104/01/30,X2,14
104/01/30,X3,24
104/01/30,X4,39
104/01/30,X5,3
104/01/30,X6,44
104/01/30,S,28
104/01/27,X1,45
104/01/27,X2,4
104/01/27,X3,27
104/01/27,X4,15
104/01/27,X5,9
104/01/27,X6,21
104/01/27,S,6
104/01/23,X1,20
104/01/23,X2,16
104/01/23,X3,39
104/01/23,X4,42
104/01/23,X5,38
104/01/23,X6,8
104/01/23,S,29
104/01/20,X1,47
104/01/20,X2,35
104/01/20,X3,28
104/01/20,X4,45
104/01/20,X5,9
104/01/20,X6,24
104/01/20,S,48
104/01/16,X1,2
104/01/16,X2,46
104/01/16,X3,17
104/01/16,X4,32
104/01/16,X5,38
104/01/16,X6,28
104/01/16,S,49
104/01/13,X1,46
104/01/13,X2,14
104/01/13,X3,22
104/01/13,X4,37
104/01/13,X5,2
104/01/13,X6,16
104/01/13,S,49
104/01/09,X1,18
104/01/09,X2,7
104/01/09,X3,24
104/01/09,X4,21
104/01/09,X5,23
104/01/09,X6,8
104/01/09,S,11
104/01/06,X1,16
104/01/06,X2,37
104/01/06,X3,43
104/01/06,X4,11
104/01/06,X5,30
104/01/06,X6,29
104/01/06,S,13
104/01/02,X1,31
104/01/02,X2,23
104/01/02,X3,48
104/01/02,X4,29
104/01/02,X5,22
104/01/02,X6,13
104/01/02,S,6
103/12/30,X1,48
103/12/30,X2,49
103/12/30,X3,7
103/12/30,X4,44
103/12/30,X5,32
103/12/30,X6,30
103/12/30,S,45
103/12/26,X1,49
103/12/26,X2,32
103/12/26,X3,42
103/12/26,X4,45
103/12/26,X5,9
103/12/26,X6,27
103/12/26,S,30
103/12/23,X1,32
103/12/23,X2,39
103/12/23,X3,3
103/12/23,X4,31
103/12/23,X5,30
103/12/23,X6,27
103/12/23,S,35
103/12/19,X1,9
103/12/19,X2,1
103/12/19,X3,24
